Option_Simplified,Option_STD,COUNT_ALL
DRIVER/FRONT PASSENGER SUN VISORS W/ILLU,DRIVER/FRONT PASSENGER SUN VIS,1
ILLUMINATED ENTRY/EXIT SYSTEM W/DELAYED,ILLUMINATED ENTRY/EXIT SYS,1
17 14-SPOKE ALLOY WHEELS,17 14-SPOKE ALLOY WHEELS,3
BODY-COLOR BUMPERS W/CHROME INSERT MOLDI,BODY-COLOR BUMPERS,3
BODY-COLOR LOWER BODYSIDE MOLDINGS,BODY-COLOR LOWER BODYSIDE MOLD,3
BODY-COLOR GRILLE W/CHROME ACCENT,BODY-COLOR GRILLE,3
AUTOMATIC HEADLIGHTS -INC: LED ACCENTS,AUTOMATIC HEADLIGHTS -INC,3
CENTER HIGH MOUNT STOP LAMP,CENTER HIGH MOUNT STOP LAMP,3
ACOUSTIC LAMINATED NOISE REDUCING FRONT,ACOUSTIC LAMINATED NOISE REDUC,3
VARIABLE INTERMITTENT SPEED-SENSITIVE WI,VARIABLE INTERMITTENT SPEED-SE,3
CHROME ACCENT DOOR HANDLES,CHROME ACCENT DOOR HANDLES,3
AM/FM STEREO W/CD/MP3 PLAYER -INC: (7) S,AM/FM STEREO,3
PWR HEATED FRONT BUCKET SEATS -INC: 8-WA,PWR HEATED FRONT BUCKET SEATS ,3
HEATED REAR SEATING W/PASS-THROUGH -INC:,HEATED REAR SEATING,3
FRONT CENTER CONSOLE -INC: STORAGE DUAL,FRONT CENTER CONSOLE -INC,3
LEATHER-WRAPPED TILT STEERING WHEEL -INC,LEATHER-WRAPPED TILT STEERING ,3
INDICATORS -INC: PRND CRUISE TURN SIGN,INDICATORS -INC,3
WARNING CHIMES -INC: KEY-IN-CAR W/DOOR A,WARNING CHIMES -INC,3
PWR WINDOWS W/FRONT AUTO-UP/DOWN -INC: P,PWR WINDOWS,3
PROXIMITY ENTRY W/PUSH BUTTON START -INC,PROXIMITY ENTRY,3
REMOTE FUEL DOOR HOOD & TRUNK RELEASE,REMOTE FUEL DOOR HOOD & TRUNK ,3
DUAL ZONE AUTOMATIC AIR CONDITIONING W/C,DUAL ZONE AUTOMATIC AIR CONDIT,3
(2) AUX PWR OUTLETS,(2) AUX PWR OUTLETS,3
DOOR MAP POCKETS W/TILT OUT FEATURE,DOOR MAP POCKETS,3
WOODGRAIN ACCENTS,WOODGRAIN ACCENTS,3
METALGRAIN ACCENTS,METALGRAIN ACCENTS,3
LIGHTING -INC: FRONT MAP FRONT/REAR REA,LIGHTING -INC,3
LEATHER-WRAPPED SHIFT KNOB W/WOODGRAIN I,LEATHER-WRAPPED SHIFT KNOB,3
(2) REAR COAT HOOKS,(2) REAR COAT HOOKS,3
DUAL SUNVISORS W/ILLUMINATED VANITY MIR,DUAL SUNVISORS,3
18 X 8 WIDE-SPOKE PAINTED ALUMINUM,18 X 8 WIDE-SPOKE PAINTED ALUM,1
P235/50WR18 FRONT & P245/45WR18 REAR ALL,P235/50WR18 FRONT & P245/45WR1,1
UNIQUE GRILLE & FASCIA -INC: BLACK CHROM,UNIQUE GRILLE & FASCIA -INC,1
AUTO HEADLAMPS,AUTO HEADLAMPS,7
SHAKER 500 AUDIO SYSTEM -INC: AM/FM STER,SHAKER 500 AUDIO SYS -INC,2
SIRIUS SATELLITE RADIO -INC: 6-MONTHS SU,SIRIUS SATELLITE RADIO -INC,2
GLOSS PAINT CENTER STACK & CONSOLE,GLOSS PAINT CENTER STACK & CON,1
ALUMINUM PEDAL COVERS ALUMINUM SCUFF PL,ALUMINUM PEDAL COVERS ALUMINUM,1
MY COLOR CUSTOMIZABLE INTERIOR LIGHTING,MY COLOR CUSTOMIZABLE INTERIOR,1
DOOR TRIM PANEL INSERTS W/SATIN SPEAKER,DOOR TRIM PANEL INSERTS,1
17 X 8.0 7-SPOKE ALUMINUM WHEELS,17 X 8.0 7-SPOKE ALUMINUM WHEE,1
P245/45R17 ALL-SEASON PERFORMANCE TIRES,P245/45R17 ALL-SEASON PERF TIR,2
PWR TILT/SLIDE TINTED GLASS SUNROOF -INC,PWR TILT/SLIDE TINTED GLASS SU,1
VARIABLE-FOCUS HALOGEN HEADLAMPS W/PROJE,VARIABLE-FOCUS HALOGEN HEADLAM,3
SELECTABLE LIGHT-SENSING HEADLAMPS,SELECTABLE LIGHT-SENSING HEADL,3
PWR HEATED SIGNAL MIRRORS -INC: MIRROR M,PWR HEATED SIGNAL MIRRORS -INC,2
COMAND COCKPIT MANAGEMENT & DATA SYSTEM,COMAND COCKPIT MANAGEMENT & DA,4
10-WAY PWR FRONT SEATS -INC: 3-POSITION,10-WAY PWR FRONT SEATS -INC,1
LEATHER-WRAPPED STEERING WHEEL -INC: AUD,LEATHER-WRAPPED STEERING WHEEL,3
4-WAY PWR TILT/TELESCOPIC STEERING COLUM,4-WAY PWR TILT/TELESCOPIC STEE,3
PWR WINDOWS W/1-TOUCH EXPRESS DOWN & UP,PWR WINDOWS,3
PWR DOOR LOCKS W/DRIVE AWAY LOCKING,PWR DOOR LOCKS,3
INTEGRATED HOMELINK COMPATIBLE (3) BUTTO,INTEGRATED HOMELINK COMPATIBLE,4
ELECTRICALLY HEATED REAR WINDOW W/AUTO S,ELECTRICALLY HEATED REAR WINDO,3
ILLUMINATED ENTRY SYSTEM W/LOCATOR LIGHT,ILLUMINATED ENTRY SYS,3
FRONT/REAR READING LIGHTS,FRONT/REAR READING LIGHTS,3
CARGO AREA & CABIN 12V PWR OUTLETS,CARGO AREA & CABIN 12V PWR OUT,2
17 X 8.0 SPLIT 5-SPOKE ALUMINUM WHE,17 X 8.0 SPLIT 5-SPOKE ALUMINU,1
PWR TILT/SLIDE GLASS SUNROOF -INC: SUNSH,PWR TILT/SLIDE GLASS SUN -INC,1
14-WAY PWR FRONT BUCKET SEATS -INC: 3-PO,14-WAY PWR FRONT BUCKET SEATS ,2
17 5 TWIN-SPOKE ALUMINUM WHEELS -INC:,17 5 TWIN-SPOKE ALUMINUM WHEEL,1
P235/45R17 FRONT & P255/40R17 REAR ALL-S,P235/45R17 FRONT & P255/40R17 ,1
PWR TILT/SLIDE PANORAMA SUNROOF -INC: 1-,PWR TILT/SLIDE PANORAMA SUN -I,1
SINGLE RED REAR FOGLAMP (2010),SINGLE RED REAR FOGLAMP (2010),1
PWR HEATED SIGNAL MIRRORS (2010) -INC: M,PWR HEATED SIGNAL MIRRORS (201,1
LEATHER-TRIMMED SHIFT KNOB (2010),LEATHER-TRIMMED SHIFT KNOB (20,1
CARGO AREA & CABIN 12V PWR OUTLETS (201,CARGO AREA & CABIN 12V PWR OUT,1
18 5-SPOKE ALUMINUM WHEELS,18 5-SPOKE ALUMINUM WHEELS,2
P225/50WR18 FRONT/P245/45WR18 REAR HIGH-,P225/50WR18 FRONT/P245/45WR18 ,2
SPARE TIRE COVER W/WHEEL WRENCH FRONT T,SPARE TIRE COVER,2
ALUMINUM BODY PANELS -INC: HOOD,ALUMINUM BODY PANELS -INC,1
FENDER-MOUNTED ILLUMINATED Z EMBLEMS & S,FENDER-MOUNTED ILLUMINATED Z E,1
BI-FUNCTIONAL XENON HIGH INTENSITY DISCH,BI-FUNCTIONAL XENON HIGH INTEN,1
LED TAILLIGHTS,LED TAILLIGHTS,3
DUAL COLOR-KEYED HEATED PWR MIRRORS,DUAL COLOR-KEYED HEATED PWR MI,1
8-WAY MANUALLY ADJUSTABLE DRIVER SEAT,8-WAY MANUALLY ADJUSTABLE DRIV,2
4-WAY MANUALLY ADJUSTABLE PASSENGER SEAT,4-WAY MANUALLY ADJUSTABLE PASS,2
FRONT BUCKET SEATS -INC: MANUAL PASSENGE,FRONT BUCKET SEATS -INC,1
ALUMINUM INTERIOR ACCENTS,ALUMINUM INTERIOR ACCENTS,3
(3) CUP HOLDERS -INC: (2) DOOR PANEL (1,(3) CUP HOLDERS -INC,1
LEATHER-WRAPPED TILT STEERING WHEEL -IN,LEATHER-WRAPPED TILT STEERING ,1
DRIVER-SIDE ANALOG GAUGE CLUSTER -INC: F,DRIVER-SIDE ANALOG GAUGE CLUST,2
CENTER-MOUNTED 3-BAY GAUGE CLUSTER -INC:,CENTER-MOUNTED 3-BAY GAUGE CLU,2
NISSAN INTELLIGENT KEY KEYLESS ENTRY/IGN,NISSAN INTELLIGENT KEY KEYLESS,2
AUTOMATIC CLIMATE CONTROL -INC: FRONT HV,AUTOMATIC CLIMATE CONTROL -INC,1
DUAL ILLUMINATED VISOR VANITY MIRRORS -I,DUAL ILLUMINATED VISOR VANITY ,1
STORAGE BOX BEHIND PASSENGER SEAT,STORAGE BOX BEHIND PASSENGER S,2
PASSENGER STORAGE NET,PASSENGER STORAGE NET,3
ALUMINUM HOOD,ALUMINUM HOOD,2
UV-SHIELDED GLASS,UV-SHIELDED GLASS,1
FENDER-MOUNTED Z EMBLEMS & SIDE MARKERS,FENDER-MOUNTED Z EMBLEMS & SID,1
FLUSH-MOUNTED BI-FUNCTIONAL XENON HIGH I,FLUSH-MOUNTED BI-FUNCTIONAL XE,1
AM/FM STEREO W/CD-PLAYER -INC: (4) SPEAK,AM/FM STEREO,1
CENTER STACK STORAGE BOX,CENTER STACK STORAGE BOX,1
LEATHER WRAPPED TILT STEERING WHEEL W/IL,LEATHER WRAPPED TILT STEERING ,1
PWR WINDOWS W/ONE-TOUCH AUTO UP/DOWN AU,PWR WINDOWS,1
DUAL ILLUMINATED VISOR VANITY MIRRORS &,DUAL ILLUMINATED VISOR VANITY ,1
P255/65R17 ALL-SEASON OWL TIRES,P255/65R17 ALL-SEASON OWL TIRE,1
FULL-SIZE SPARE TIRE W/LOCK UNDER FRAME,FULL-SIZE SPARE TIRE,1
CHROME FRONT BUMPER W/BLACK LOWER VALANC,CHROME FRONT BUMPER,1
CHROME REAR STEP BUMPER,CHROME REAR STEP BUMPER,1
CHROME GRILLE SURROUND W/CHROME BAR S,CHROME GRILLE SURROUND,1
BLACK PWR SIDE MIRRORS,BLACK PWR SIDE MIRRORS,1
FIXED REAR WINDOW,FIXED REAR WINDOW,1
INTERVAL WIPERS,INTERVAL WIPERS,1
AM/FM STEREO W/CD/MP3 PLAYER -INC: CLOCK,AM/FM STEREO,1
CLOTH 40/20/40 SPLIT BENCH FRONT SEAT W/,CLOTH 40/20/40 SPLIT BENCH FRO,1
60/40 FLIP-UP REAR SPLIT BENCH SEAT,60/40 FLIP-UP REAR SPLIT BENCH,1
COLOR-COORDINATED URETHANE STEERING WHEE,COLOR-COORDINATED URETHANE STE,1
DISPLAY CENTER -INC: WARNING MESSAGES &,DISPLAY CENTER -INC,1
DEPLOYABLE CUPHOLDER UNDER MIDDLE SEAT,DEPLOYABLE CUPHOLDER UNDER MID,1
DRIVER & FRONT PASSENGER COVERED VISOR V,DRIVER & FRONT PASSENGER COVER,1
17 10-SPOKE MACHINED ALUMINUM WHEELS,17 10-SPOKE MACHINED ALUMINUM ,1
16 MINI SPARE TIRE W/STEEL WHEEL,16 MINI SPARE TIRE,1
COLOR KEYED BUMPERS W/BODYSIDE MOLDINGS,COLOR KEYED BUMPERS,1
BRIGHT LINCOLN WATERFALL GRILLE,BRIGHT LINCOLN WATERFALL GRILL,1
AUTO ON/OFF HEADLAMPS W/DELAY,AUTO ON/OFF HEADLAMPS,1
CORNERING LAMPS,CORNERING LAMPS,1
HEATED PWR MIRRORS W/DRIVER MEMORY/ELECT,HEATED PWR MIRRORS,1
CHROME DOOR HANDLES W/BODY COLOR SURROUN,CHROME DOOR HANDLES,1
8-WAY PWR INDIVIDUAL COMFORT LOUNGE 40/2,8-WAY PWR INDIVIDUAL COMFORT L,1
REAR BENCH SEAT W/FOLD-DOWN ARMREST,REAR BENCH SEAT,1
FOLDING CENTER ARMREST,FOLDING CENTER ARMREST,1
FULL-LENGTH FRONT DOOR ARMRESTS,FULL-LENGTH FRONT DOOR ARMREST,1
FRONT/REAR FLOOR MATS W/FRONT LINCOLN ST,FRONT/REAR FLOOR MATS,1
LEATHER/AMERICAN BURL WALNUT WOOD TILT S,LEATHER/AMERICAN BURL WALNUT W,1
ANALOG INSTRUMENT CLUSTER -INC: REDUNDAN,ANALOG INSTRUMENT CLUSTER -INC,1
WARNING CHIMES -INC: KEY IN IGNITION HE,WARNING CHIMES -INC,1
LUXURY ANALOG CLOCK,LUX ANALOG CLOCK,1
PWR DOOR LOCKS W/SMART LOCK ANTI-LO,PWR DOOR LOCKS,1
REMOTE KEYLESS ENTRY SYSTEM -INC: KEY PA,REMOTE KEYLESS ENTRY SYS -INC,1
PWR REMOTE RELEASE FOR FUEL FILLER DOOR,PWR REMOTE RELEASE FOR FUEL FI,1
VALET KEY,VALET KEY,1
SECURILOCK ENCODED IGNITION KEY,SECURILOCK ENCODED IGNITION KE,1
PASSIVE ANTI-THEFT SYSTEM (PATS) W/INDIC,PASSIVE ANTI-THEFT SYS (PATS),1
DUAL ZONE ELECTRONIC TEMPERATURE CONTROL,DUAL ZONE ELECTRONIC TEMPERATU,1
LOCKABLE & ILLUMINATED GLOVE BOX,LOCKABLE & ILLUMINATED GLOVE B,1
FRONT/REAR CUP HOLDERS,FRONT/REAR CUP HOLDERS,1
FRONT & REAR PASSENGER ROOF RAIL ASSIST,FRONT & REAR PASSENGER ROOF RA,1
LIGHTS -INC: ILLUMINATED ENTRY W/THEATER,LIGHTS -INC,1
FRONT SEATBACK/DOOR TRIM MAP POCKETS,FRONT SEATBACK/DOOR TRIM MAP P,1
FULL PWR DECKLID W/KEY FOB OPEN/CLOSE,FULL PWR DECKLID,1
P225/70R15 ALL-SEASON BSW TIRES,P225/70R15 ALL-SEASON BSW TIRE,1
15 7-SPOKE SILVER-PAINTED STEEL WHEEL,15 7-SPOKE SILVER-PAINTED STEE,1
RAISED POWER DOME HOOD,RAISED POWER DOME HOOD,1
BLACK FRONT/REAR STEP BUMPER -INC: BLACK,BLACK FRONT/REAR STEP BUMPER -,1
FRONT/REAR STONE GUARDS,FRONT/REAR STONE GUARDS,1
BLACK H-BAR GRILLE,BLACK H-BAR GRILLE,1
BI-COLOR TAIL LAMPS,BI-COLOR TAIL LAMPS,1
BLACK MANUAL SIDE MIRRORS,BLACK MANUAL SIDE MIRRORS,1
REAR WINDOW FIXED GLASS,REAR WINDOW FIXED GLASS,1
QUICK-RELEASE TAILGATE W/BLACK HANDLE,QUICK-RELEASE TAILGATE,1
AM/FM STEREO W/CLOCK,AM/FM STEREO,1
MEDIUM DARK FLINT VINYL 60/40 SPLIT BEN,MEDIUM DARK FLINT VINYL 60/40 ,1
BLACK RUGGED TEXTURED VINYL FLOOR COVERI,BLACK RUGGED TEXTURED VINYL FL,1
BLACK URETHANE 4-SPOKE STEERING WHEEL,BLACK URETHANE 4-SPOKE STEERIN,1
GAUGES -INC: TACHOMETER FUEL ENGINE TE,GAUGES -INC,1
BLACK-FACED GAUGE CLUSTER W/BLACK TRIM R,BLACK-FACED GAUGE CLUSTER,1
SECURILOCK ANTI-THEFT SYSTEM,SECURILOCK ANTI-THEFT SYS,2
SMOKERS PKG -INC: LIGHTER ASH TRAY,SMOKERS PKG -INC,1
12-VOLT AUX PWR POINT,12-VOLT AUX PWR POINT,1
LOW SERIES DOOR TRIM PANELS,LOW SERIES DOOR TRIM PANELS,1
SUN VISORS W/DRIVER SIDE STRAP,SUN VISORS,1
DRIVER/PASSENGER A-PILLAR-MOUNTED GRAB H,DRIVER/PASSENGER A-PILLAR-MOUN,1
WHEELS 19 (48.3 CM) PAINTED ALUMINUM,WHEELS 19 (48.3 CM) PAINTED AL,1
TIRES P245/50R19 TOURING BLACKWALL AL,TIRES P245/50R19 TOURING BLACK,1
FASCIAS FRONT AND REAR BODY-COLOR WITH,FASCIAS FRONT AND REAR BODY-CO,1
BLACK GRILLE W/BRIGHT SURROUND,BLACK GRILLE,2
BLACK HEADLAMP BEZELS,BLACK HEADLAMP BEZELS,2
MANUAL FOLD-AWAY PWR HEATED MIRRORS,MANUAL FOLD-AWAY PWR HEATED MI,2
ACOUSTIC WINDSHIELD,ACOUSTIC WINDSHIELD,5
ACOUSTIC FRONT DOOR GLASS,ACOUSTIC FRONT DOOR GLASS,5
DECKLID LINER,DECKLID LINER,2
UCONNECT TOUCH 8.4 -INC: AM/FM STEREO C,UCONNECT TOUCH 8.4 -INC,2
(6) PREMIUM SPEAKERS,(6) PREM SPEAKERS,5
276-WATT AMP,276-WATT AMP,2
CLOTH LOW-BACK FRONT BUCKET SEATS,CLOTH LOW-BACK FRONT BUCKET SE,1
4-WAY PWR DRIVER LUMBAR ADJUST,4-WAY PWR DRIVER LUMBAR ADJUST,1
REACTIVE HEAD RESTRAINTS,REACTIVE HEAD RESTRAINTS,5
60/40 REAR FOLDING SEAT,60/40 REAR FOLDING SEAT,2
REAR ARMREST W/CUPHOLDER,REAR ARMREST,2
CENTER CONSOLE 12V PWR OUTLET,CENTER CONSOLE 12V PWR OUTLET,2
INSTRUMENT CLUSTER W/TACHOMETER,INSTRUMENT CLUSTER,4
COMPASS GAUGE,COMPASS GAUGE,2
PWR WINDOWS W/1-TOUCH UP & DOWN FEATURE,PWR WINDOWS,2
SPEED-SENSITIVE PWR DOOR LOCKS,SPEED-SENSITIVE PWR DOOR LOCKS,2
PWR TRUNK LID RELEASE,PWR TRUNK LID RELEASE,2
DUAL ZONE AUTO TEMP CONTROL AIR CONDITIO,DUAL ZONE AUTO TEMP CONTROL AI,2
HUMIDITY SENSOR,HUMIDITY SENSOR,5
WOVEN MICRO ALUMINUM INTERIOR ACCENTS,WOVEN MICRO ALUMINUM INTERIOR ,2
ILLUMINATED FRONT CUPHOLDERS,ILLUMINATED FRONT CUPHOLDERS,2
FRONT & REAR LED MAP POCKETS,FRONT & REAR LED MAP POCKETS,2
REAR ILLUMINATED ASSIST HANDLES,REAR ILLUMINATED ASSIST HANDLE,2
19 X 8.5 AURIGA 11-SPOKE ALLOY,19 X 8.5 AURIGA 11-SPOKE ALLOY,1
P245/40HR19 ALL-SEASON TIRES,P245/40HR19 ALL-SEASON TIRES,1
ALLOY SPACE SAVER SPARE WHEEL & TIRE,ALLOY SPACE SAVER SPARE WHEEL ,1
1-TOUCH TILT/SLIDE PWR GLASS MOONROOF,1-TOUCH TILT/SLIDE PWR GLASS M,1
BRIGHT MESH GRILLE INSERT W/CHROME SURRO,BRIGHT MESH GRILLE INSERT,1
BRIGHT SIDE WINDOW SURROUNDS,BRIGHT SIDE WINDOW SURROUNDS,1
AUTO-DIMMING HEATED PWR MIRRORS W/PUDDLE,AUTO-DIMMING HEATED PWR MIRROR,1
AUTO-ON/OFF HALOGEN HEADLAMPS,AUTO-ON/OFF HALOGEN HEADLAMPS,1
RAIN-SENSING VARIABLE-INTERMITTENT WIPER,RAIN-SENSING VARIABLE-INTERMIT,1
AM/FM/MP3 STEREO W/CD PLAYER -INC: PORTA,AM/FM/MP3 STEREO,1
BLUETOOTH WIRELESS TECHNOLOGY FOR CELL P,BLUETOOTH WIRELESS TECH FOR CE,1
10-WAY PWR FRONT HEATED BUCKET SEATS W/2,10-WAY PWR FRONT HEATED BUCKET,1
DRIVER/FRONT PASSENGER LUMBAR SUPPORT,DRIVER/FRONT PASSENGER LUMBAR ,1
60/40 SPLIT FOLDING REAR SEAT,60/40 SPLIT FOLDING REAR SEAT,1
SOFTGRAIN LEATHER SEATING SURFACES,SOFTGRAIN LEATHER SEATING SURF,1
SOFTGRAIN LEATHER STITCHED & TAILORED IN,SOFTGRAIN LEATHER STITCHED & T,1
FRONT CENTER CONSOLE W/STORAGE COMPARTME,FRONT CENTER CONSOLE,1
3-SPOKE LEATHER STEERING WHEEL W/REMOTE,3-SPOKE LEATHER STEERING WHEEL,1
PWR ADJUSTABLE STEERING COLUMN FOR HEIGH,PWR ADJUSTABLE STEERING COLUMN,1
PHOSPHOR BLUE HALO ILLUMINATION & INTERI,PHOSPHOR BLUE HALO ILLUMINATIO,1
JAGUAR SMART KEY SYSTEM W/PUSH-BUTTON ST,JAGUAR SMART KEY SYS,1
DRIVE-AWAY LOCKING,DRIVE-AWAY LOCKING,1
CRUISE CONTROL W/AUTOMATIC SPEED LIMITER,CRUISE CONTROL,1
HOMELINK 3-CHANNEL GARAGE DOOR/ENTRY GAT,HOMELINK 3-CHANNEL GARAGE DOOR,1
7 TOUCH SCREEN DISPLAY W/CONTROLS FOR,7 TOUCH SCREEN DISPLAY,1
NAVIGATION SYSTEM W/DVD-MAPPING & VOICE,NAV,1
JAGUARVOICE VOICE-ACTIVATED CONTROLS FOR,JAGUARVOICE VOICE-ACTIVATED CO,1
AUTOMATIC DUAL-ZONE CLIMATE CONTROL SYST,AUTOMATIC DUAL-ZONE CLIMATE CO,1
HEATED REAR WINDOW,HEATED REAR WINDOW,1
JAGUARSENSE GLOVEBOX & OVERHEAD LIGHT OP,JAGUARSENSE GLOVEBOX & OVERHEA,1
(3) FRONT (2) REAR CUPHOLDERS,(3) FRONT (2) REAR CUPHOLDERS,1
DRIVER/FRONT PASSENGER TELESCOPING SUNV,DRIVER/FRONT PASSENGER TELESCO,1
BLACK ALLOY WHEELS,BLACK ALLOY WHEELS,1
ROOF RACK SIDE RAILS W/ADJUSTABLE CROSSB,ROOF RACK SIDE RAILS,1
DEEP-TINT SUNSCREEN GLASS,DEEP-TINT SUNSCREEN GLASS,1
FRONT DOOR TINTED GLASS,FRONT DOOR TINTED GLASS,1
TINTED SUNSCREEN GLASS,TINTED SUNSCREEN GLASS,2
FLIPPER LIFTGATE GLASS,FLIPPER LIFTGATE GLASS,2
SIRIUS SATELLITE RADIO-INC: 1-YEAR SERVI,SIRIUS SATELLITE RADIO-INC,1
CLOTH LOW-BACK FRONT BUCKET SEATS W/DRIV,CLOTH LOW-BACK FRONT BUCKET SE,1
PWR 8-WAY DRIVER SEAT,PWR 8-WAY DRIVER SEAT,1
LUXURY FRONT & REAR FLOOR MATS W/LOGO,LUX FRONT & REAR FLOOR MATS,1
PWR FRONT WINDOWS W/(1) TOUCH UP/DOWN FE,PWR FRONT WINDOWS,1
CLOTH COVERED HEADLINER,CLOTH COVERED HEADLINER,1
CARGO COMPARTMENT LAMP,CARGO COMPARTMENT LAMP,2
REAR READING LAMP,REAR READING LAMP,1
CARPETED CARGO AREA,CARPETED CARGO AREA,1
TRIM-PANEL-MOUNTED STORAGE NET,TRIM-PANEL-MOUNTED STORAGE NET,1
CARGO-AREA TIE DOWN LOOPS,CARGO-AREA TIE DOWN LOOPS,1
16 X 7.0 V-SPOKE ALLOY WHEELS (STYL,16 X 7.0 V-SPOKE ALLOY WHEELS ,1
HALOGEN HIGH- AND LOW-BEAM HEADLIGHTS AN,HALOGEN HIGH- AND LOW-BEAM HEA,1
HALOGEN FREE-FORM FRONT FOGLIGHTS,HALOGEN FREE-FORM FRONT FOGLIG,1
HEATED DUAL POWER MIRRORS AND HEATED WIN,HEATED DUAL POWER MIRRORS AND ,1
RAIN-SENSING WINDSHIELD WIPERS AND AUTOM,RAIN-SENSING WINDSHIELD WIPERS,1
GROUND LIGHTING LOCATED IN BOTTOM OF EXT,GROUND LIGHTING LOCATED IN BOT,1
HIFI SOUND SYSTEM,HIFI SOUND SYS,1
ANTI-THEFT AM/FM STEREO CD/MP3 PLAYER AU,ANTI-THEFT AM/FM STEREO CD/MP3,1
AUXILIARY AUDIO INPUT FOR PORTABLE MUSIC,AUXILIARY AUDIO INPUT FOR PORT,1
HD RADIO WITH MULTICAST FM STATION,HD RADIO WITH MULTICAST FM STA,1
8-WAY ADJUSTABLE FRONT BUCKET SEATS INCL,8-WAY ADJUSTABLE FRONT BUCKET ,1
FRONT-SEAT CENTER ARMREST,FRONT-SEAT CENTER ARMREST,1
REAR-SEAT CENTER ARMREST WITH CUPHOLDERS,REAR-SEAT CENTER ARMREST WITH ,1
3-SPOKE LEATHER-WRAPPED MULTI-FUNCTION S,3-SPOKE LEATHER-WRAPPED MULTI-,2
CHECK CONTROL VEHICLE MONITOR SYSTEM WIT,CHECK CONTROL VEHICLE MONITOR ,1
ON-BOARD COMPUTER WITH CHECK CONTROL PRO,ON-BOARD COMPUTER WITH CHECK C,1
SERVICE INTERVAL INDICATOR WITH MILES-TO,SERVICE INTERVAL INDICATOR WIT,1
CENTRAL LOCKING SYSTEM WITH CENTER CONSO,CENTRAL LOCKING SYS WITH CENTE,1
REMOTE KEYLESS ENTRY WITH REMOTE TRUNK R,REMOTE KEYLESS ENTRY WITH REMO,1
POWER FRONT AND REAR WINDOWS WITH ONE,POWER FRONT AND REAR WINDOWS W,1
ADVANCED VEHICLE KEY MEMORY INCLUDES CLI,ADVANCED VEHICLE KEY MEMORY IN,1
ELECTRIC INTERIOR TRUNK RELEASE,ELECTRIC INTERIOR TRUNK RELEAS,1
AUTOMATIC CLIMATE CONTROL INCLUDES MICRO,AUTOMATIC CLIMATE CONTROL INCL,1
FRONT PASSENGER CUPHOLDERS (DASHBOARD-IN,FRONT PASSENGER CUPHOLDERS (DA,1
AUXILIARY POWER OUTLET,AUXILIARY POWER OUTLET,1
DRIVER AND PASSENGER VISOR VANITY MIRROR,DRIVER AND PASSENGER VISOR VAN,1
COURTESY LIGHTS INCLUDE FADE IN/FADE OUT,COURTESY LIGHTS INCLUDE FADE I,1
CHROME STEEL WHEELS,CHROME STEEL WHEELS,1
18 X 7.5 ALUMINUM CHROME CLAD WHEEL,18 X 7.5 ALUMINUM CHROME CLAD ,4
P225/60R18 TOURING BSW TIRES,P225/60R18 TOURING BSW TIRES,3
LOWER BODYSIDE CLADDING,LOWER BODYSIDE CLADDING,3
LIQUID CHROME BAR GRILLE W/BRIGHT SURROU,LIQUID CHROME BAR GRILLE,3
CHROME HEADLAMP BEZELS,CHROME HEADLAMP BEZELS,3
BI-FUNCTION HALOGEN PROJECTOR HEADLAMPS,BI-FUNCTION HALOGEN PROJECTOR ,3
PWR HEATED CHROME EXTERIOR MIRRORS,PWR HEATED CHROME EXTERIOR MIR,1
UCONNECT TOUCH 8.4 -INC: AM/FM STEREO W/,UCONNECT TOUCH 8.4 -INC,1
276-WATT AMPLIFIER,276-WATT AMPLIFIER,3
WINDOW INTEGRATED ANTENNA,WINDOW INTEGRATED ANTENNA,3
LUX LEATHER-TRIMMED BUCKET SEATS,LUX LEATHER-TRIMMED BUCKET SEA,3
PWR DRIVER & FRONT PASSENGER SEATS,PWR DRIVER & FRONT PASSENGER S,1
4-WAY PWR DRIVER & FRONT PASSENGER LUMBA,4-WAY PWR DRIVER & FRONT PASSE,3
60/40 FOLDING REAR BENCH SEAT,60/40 FOLDING REAR BENCH SEAT,3
12V AUX CENTER CONSOLE PWR OUTLET,12V AUX CENTER CONSOLE PWR OUT,3
ILLUMINATED FRONT CUP HOLDERS,ILLUMINATED FRONT CUP HOLDERS,3
CUSTOMER DEFINED DISPLAY MONITOR,CUSTOMER DEFINED DISPLAY MONIT,3
140-MPH SPEEDOMETER,140-MPH SPEEDOMETER,3
OUTSIDE TEMPERATURE DISPLAY,OUTSIDE TEMPERATURE DISPLAY,3
PWR FRONT WINDOWS W/1-TOUCH UP/DOWN,PWR FRONT WINDOWS,4
SPEED SENSITIVE PWR LOCKS,SPEED SENSITIVE PWR LOCKS,4
DUAL ZONE AIR CONDITIONING W/AUTOMATIC T,DUAL ZONE AIR CONDITIONING,3
REARVIEW AUTO-DIMMING MIRROR W/MICROPHON,REARVIEW AUTO-DIMMING MIRROR,3
DUAL SUN VISORS W/ILLUMINATED VANITY MIR,DUAL SUN VISORS,3
ILLUMINATED REAR ASSIST HANDLES,ILLUMINATED REAR ASSIST HANDLE,3
REAR READING/COURTESY LAMPS,REAR READING/COURTESY LAMPS,3
ILLUMINATED REAR CUPHOLDERS,ILLUMINATED REAR CUPHOLDERS,3
AUTO HIGH BEAM HEADLAMP CONTROL,AUTO HIGH BEAM HEADLAMP CONTRO,3
